date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
192607,0.0121,0.0398,0.0227,-0.0236,0.018500000000000003,0.0222,0.0131,0.048499999999999995,0.0075,0.0253,-0.0037,0.0016
192608,0.050300000000000004,0.0023,0.0232,0.0443,0.016200000000000003,0.024,0.0108,-0.0201,-0.0008,0.060300000000000006,0.07830000000000001,0.0401
192609,0.0,-0.031400000000000004,0.0008,-0.0338,0.031000000000000003,0.009300000000000001,0.0022,0.0207,-0.0070999999999999995,0.008100000000000001,-0.0338,-0.0007000000000000001
192610,-0.0248,-0.0965,-0.046900000000000004,0.026099999999999998,-0.07110000000000001,-0.060700000000000004,-0.0098,-0.0346,-0.032799999999999996,0.0013000000000000002,-0.053899999999999997,-0.024100000000000003
192611,0.0609,-0.0038,0.0115,0.0144,0.047,0.0115,0.0148,0.061900000000000004,0.0134,0.0722,0.005699999999999999,0.0108
192612,0.0024,0.048,0.0347,0.0495,0.0334,0.0095,0.016200000000000003,0.0172,0.0281,0.004,0.015500000000000002,0.0118
192701,-0.013600000000000001,-0.022799999999999997,0.0089,0.0354,0.0046,0.0064,0.0013000000000000002,-0.0044,-0.0223,0.0616,-0.0273,0.0608
192702,0.021,0.060599999999999994,0.0654,0.041100000000000005,0.055099999999999996,0.086,0.0698,0.0488,0.050499999999999996,0.024700000000000003,0.034300000000000004,0.0721
192703,-0.03,-0.0235,-0.0089,-0.0911,-0.0265,-0.0201,0.0125,0.0219,0.0008,-0.0021,-0.0139,-0.0029
192704,0.011200000000000002,-0.0118,0.0146,-0.0382,0.0209,0.020800000000000003,0.005699999999999999,0.0168,0.034,0.057999999999999996,0.0124,0.0131
192705,0.0745,0.041600000000000005,0.0655,0.0718,0.044800000000000006,0.029900000000000003,0.016,0.09300000000000001,0.0211,0.048,0.0747,0.0855
192706,-0.0227,-0.0398,-0.039,-0.003,0.0323,0.0134,-0.026400000000000003,-0.033100000000000004,-0.0184,0.0361,-0.014199999999999999,-0.0115
192707,0.0659,0.0622,0.0809,0.0215,0.0588,0.079,0.04360000000000001,0.0451,0.0596,0.0859,0.028300000000000002,0.0484
192708,0.0105,0.0174,-0.0051,-0.0211,0.028900000000000002,-0.0219,0.0131,0.057999999999999996,0.029700000000000004,0.0014000000000000002,0.028300000000000002,-0.020800000000000003
192709,0.030299999999999997,-0.0077,0.015300000000000001,0.0403,-0.0001,0.04360000000000001,0.052000000000000005,0.0942,0.0375,0.0601,0.040999999999999995,0.0368
192710,-0.0159,-0.0376,-0.0509,-0.0483,-0.026000000000000002,-0.037200000000000004,-0.0233,-0.0468,-0.037000000000000005,0.051500000000000004,0.0121,-0.0581
192711,0.0727,0.11480000000000001,0.1307,0.09970000000000001,0.09970000000000001,0.1444,0.0366,0.0596,0.08710000000000001,0.050499999999999996,0.0755,0.0784
192712,0.0351,0.066,0.0435,0.0032,0.06230000000000001,0.0128,0.0342,0.0179,0.0182,-0.0143,0.08750000000000001,0.0099
192801,0.0388,-0.0193,0.0564,-0.0055000000000000005,0.0366,0.0191,-0.0187,0.0877,0.039,0.014499999999999999,0.042699999999999995,0.029700000000000004
192802,-0.023799999999999998,-0.0245,-0.0308,-0.018600000000000002,-0.0099,-0.0001,-0.0038,-0.0209,-0.0146,-0.0302,-0.0391,-0.030699999999999998
192803,0.0534,0.1491,0.0653,0.0632,0.061200000000000004,0.14070000000000002,0.0325,0.0501,0.060300000000000006,0.08869999999999999,0.0771,0.0546
192804,0.0338,0.052300000000000006,0.084,0.25870000000000004,0.0601,0.050300000000000004,0.015500000000000002,0.10960000000000002,0.053700000000000005,0.0335,0.1462,0.0702
192805,0.029700000000000004,0.0893,0.0431,-0.0353,-0.0015,0.12150000000000001,0.061,0.0169,0.0535,0.0724,0.032100000000000004,0.0492
192806,-0.0738,-0.11660000000000001,-0.0799,-0.0622,-0.0533,-0.048499999999999995,-0.0625,-0.0383,-0.0518,-0.0141,-0.1018,-0.053099999999999994
192807,0.0017000000000000001,0.001,-0.0036,0.0169,0.0327,-0.0009,-0.0009,-0.0108,0.0325,-0.008100000000000001,0.0023,-0.0115
192808,0.04820000000000001,0.1066,0.07490000000000001,0.0089,0.0737,0.05740000000000001,0.0233,0.057300000000000004,0.07690000000000001,0.0945,0.0555,0.040999999999999995
192809,0.0296,0.07740000000000001,0.07540000000000001,0.07780000000000001,0.0674,0.0361,0.0049,0.0497,0.0327,-0.0005,0.0412,0.0276
192810,0.0336,0.0058,0.013500000000000002,0.0226,-0.0044,0.018600000000000002,0.07540000000000001,-0.0225,0.0446,0.0024,0.0357,-0.006500000000000001
192811,0.0852,0.11810000000000001,0.1378,0.1458,0.12560000000000002,0.1471,0.0889,0.1832,0.1038,0.0351,0.1216,0.1041
192812,-0.008199999999999999,0.0179,0.019,-0.0719,0.0189,0.039700000000000006,-0.0212,0.0222,-0.0015,-0.0092,-0.0265,-0.0129
